Datetime,Buyexchange,Sellexchange,Currency,Result
Oct 09 2019 04:20:52 PM,bitz,bitforex,WWB/BTC,fail
Oct 09 2019 04:21:20 PM,livecoin,btcalpha,JWL/BTC,success
Oct 09 2019 04:29:02 PM,binance,okex3,GTO/BTC,null
Oct 09 2019 04:34:04 PM,kucoin,hitbtc2,TIME/BTC,success
Oct 09 2019 04:39:52 PM,kucoin,livecoin,WIN/BTC,fail
Oct 09 2019 04:47:59 PM,bitz,bitforex,WWB/BTC,success
Oct 09 2019 06:47:24 PM,binance,hitbtc2,PPT/BTC,success
Oct 09 2019 06:51:47 PM,huobipro,tidex,DOGE/BTC,success
Oct 09 2019 07:01:32 PM,binance,huobipro,XZC/BTC,success
Oct 09 2019 07:09:21 PM,crex24,southxchange,POLIS/BTC,fail
Oct 10 2019 03:27:23 AM,exmo,digifinex,ETZ/BTC,success
Oct 10 2019 03:31:11 AM,livecoin,coinegg,AOA/BTC,fail
Oct 10 2019 03:35:26 AM,huobipro,hitbtc2,REN/BTC,success
Oct 10 2019 03:44:33 AM,digifinex,bitforex,MESG/BTC,success
Oct 10 2019 03:46:55 AM,binance,crex24,KMD/BTC,fail
Oct 10 2019 03:56:17 AM,okex3,hitbtc2,VIB/BTC,fail
Oct 10 2019 03:56:49 AM,okex3,hitbtc2,VIB/BTC,null
Oct 10 2019 04:12:10 AM,bittrex,hitbtc2,CND/BTC,success
Oct 10 2019 04:28:28 AM,bitforex,hitbtc2,BNB/BTC,success
Oct 10 2019 04:29:11 AM,exmo,digifinex,ETZ/BTC,success
Oct 10 2019 04:40:58 AM,okex3,southxchange,BSV/BTC,fail
Oct 10 2019 04:47:15 AM,huobipro,oceanex,IOST/BTC,success
Oct 10 2019 05:03:17 AM,digifinex,bitz,ABBC/BTC,fail
Oct 10 2019 05:05:07 AM,digifinex,bitforex,ABBC/BTC,fail
Oct 10 2019 09:03:14 AM,huobipro,oceanex,IOST/BTC,fail
Oct 10 2019 09:18:35 AM,hitbtc2,exmo,SMART/BTC,null
Oct 10 2019 09:27:31 AM,exmo,digifinex,ETZ/BTC,success
Oct 10 2019 09:29:59 AM,hitbtc2,exmo,SMART/BTC,fail
Oct 10 2019 09:47:54 AM,bitz,bitforex,WWB/BTC,success
Oct 10 2019 09:48:17 AM,poloniex,upbit,LBC/BTC,success
Oct 10 2019 09:49:27 AM,digifinex,hitbtc2,UTK/BTC,null
Oct 10 2019 10:04:24 AM,tidex,btcalpha,REM/BTC,success
Oct 10 2019 10:34:04 AM,huobipro,upbit,NKN/BTC,fail
Oct 10 2019 10:50:56 AM,poloniex,bitbay,GAME/BTC,success
Oct 10 2019 10:51:49 AM,huobipro,bitz,NPXS/BTC,fail
Oct 10 2019 10:58:31 AM,upbit,kucoin,SPND/BTC,fail
Oct 10 2019 11:05:03 AM,crex24,southxchange,POLIS/BTC,success
Oct 10 2019 11:06:58 AM,digifinex,lbank,ABBC/BTC,fail
Oct 10 2019 11:31:47 AM,bitz,hitbtc2,QNTU/BTC,fail
Oct 23 2019 12:52:16 AM,kucoin,bitz,MHC/BTC,success
Oct 23 2019 12:52:27 AM,livecoin,exmo,PTI/BTC,fail
Oct 23 2019 01:28:22 AM,southxchange,hitbtc2,SNBL/BTC,success
Oct 23 2019 01:44:43 AM,upbit,bitmart,EDR/BTC,success
Oct 23 2019 01:54:19 AM,kucoin,hitbtc2,AGI/BTC,success
Oct 23 2019 02:37:49 AM,oceanex,livecoin,VTHO/BTC,success
Oct 23 2019 02:54:10 AM,southxchange,hitbtc2,LCC/BTC,null
